Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bmik_500_5_75_4_decomp_auto1_log.txt:FS: 0.009 0.217 0.454 0.909 0.525 0.032 0.019 2 2 549.000 715 383 1 0 0.027 3 43 0.008 3 48 0.019 43 0.042 0.044 0.100 0.439 0.165 25 25 37.400 887 2 0.011 0 8 7 -51781.232 0.277 1.446
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bnatt350_decomp_auto1_log.txt:FS: 0.065 0.086 0.498 0.990 0.175 0.087 0.002 2 2 6828.500 7207 6450 1 0 0.168 5 52 0.450 5 325 0.137 24 0.623 0.090 0.661 0.137 0.398 17 17 482.353 3263 3 0.338 2 165 29 0.000 1.340781E156 37.071
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bnatt400_decomp_auto1_log.txt:FS: 0.071 0.074 0.494 0.992 0.151 0.095 0.002 2 2 7509.500 8298 6721 1 0 0.239 5 57 0.560 5 355 0.201 30 0.804 0.092 0.845 0.109 0.444 26 26 317.231 2106 3 0.426 2 175 33 0.000 1.340781E156 21.980
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/boa7_decomp_auto1_log.txt:FS: 0.005 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 0.012 2 9 0.001 1 3 0.009 10 0.020 0.058 0.498 0.117 0.429 2 2 1974.500 2105 1844 0.019 0 2 9 -1770.443 1.340781E156 106.304
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/boa_mpo72_decomp_auto1_log.txt:FS: 0.027 0.090 0.946 0.096 1.000 0.000 0.470 2 38 638.447 2808 300 0 0 0.064 2 8 0.046 1 22 0.052 6 0.122 0.849 0.897 0.946 0.011 10 10 7469.700 9918 6285 0.095 0 20 8 26.437 0.000 0.871
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bridge13_06APR28_decomp_auto1_log.txt:FS: 0.090 0.101 0.500 0.853 0.237 0.072 0.032 2 2 8240.500 8376 8105 1 0 0.510 5 180 0.030 5 38 0.415 75 0.544 0.138 0.546 0.252 0.276 3 3 4279.333 7916 2363 0.542 4 36 180 -13.000 1.340781E156 533.053
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bsnf_decomp_auto1_log.txt:FS: 8.177 0.622 0.779 0.930 0.858 0.008 0.014 5 835 1219.182 280228 2 1 0 19.799 5 169 757.339 5 210 12.408 15 777.427 0.437 0.781 0.559 0.116 3175 3175 294.843 262098 2 0.087 0 0 0 103556882.89 4445.994 1062.615
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/buildingenergy_decomp_auto1_log.txt:FS: 5.107 0.904 0.950 0.998 0.953 0.002 0.000 22 28 31549.536 58375 2 1 0 18.908 5 169 66.757 5 393 13.546 29 85.874 0.466 0.837 0.557 0.117 347 347 1759.375 113987 2 43.888 2 253 146 33283.619 132.557 1838.089
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/c10400_decomp_auto1_log.txt:FS: 0.021 0.752 0.998 0.754 1.000 0.000 0.057 10 400 10.000 10 10 0 0 0.005 2 1 0.004 1 8 0.004 2 0.015 0.752 0.975 0.771 0.052 323 323 12.628 451 10 0.007 0 0 1 -18341.262 0.078 0.456
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/c801600_decomp_auto1_log.txt:FS: 1.236 0.581 0.999 0.581 1.000 0.000 0.109 14 1600 80.000 80 80 0 0 1.852 4 75 0.762 4 56 1.185 25 2.647 0.626 0.994 0.630 0.092 1131 1131 113.673 3358 80 0.100 0 2 1 -79743.628 0.052 31.944
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/cap6000_decomp_auto1_log.txt:FS: 0.004 0.511 0.970 0.527 1.000 0.000 0.128 2 34 2.059 3 2 0 0 0.001 2 1 0.001 1 4 0.001 2 0.005 0.511 0.970 0.527 0.128 34 34 2.059 3 2 0.004 0 0 0 -2451503.203 0.013 0.063
